,v1,v2
1237,ham,Is ur paper in e morn or aft tmr?
1197,ham,He also knows about lunch menu only da. . I know
3867,ham,"not that I know of, most people up here are still out of town"
1607,ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
5431,ham,If I was I wasn't paying attention
4537,ham,Dare i ask... Any luck with sorting out the car?
4228,ham,Have you bookedthe hut? And also your time off? How are you by the way?
4741,ham,Ya very nice. . .be ready on thursday
1361,ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
3219,ham,Its like that hotel dusk game i think. You solve puzzles in a area thing
642,ham,Probably gonna swing by in a wee bit
1910,ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
286,ham,Ok..
2468,ham,Lol well don't do it without me. We could have a big sale together.
5161,ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
5177,ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u "
2561,ham,And maybe some pressies
444,ham,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS
1503,ham,Ill be there on  &lt;#&gt;  ok.
3693,ham,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx
5216,ham,I am late. I will be there at
4735,ham,"Not for possession, especially not first offense"
2852,ham,I doubt you could handle 5 times per night in any case...
3924,ham,As if i wasn't having enough trouble sleeping.
3802,ham,Yup song bro. No creative. Neva test quality. He said check review online.
196,ham,Did u got that persons story
3286,ham,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
719,ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
5123,ham,"Hi Chikku, send some nice msgs"
1181,ham,You flippin your shit yet?
2519,ham,Ok. I only ask abt e movie. U wan ktv oso?
679,ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
4980,ham,I said its okay. Sorry
3051,ham,Please leave this topic..sorry for telling that..
2304,ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
5159,ham,No but the bluray player can
3892,ham,Have you heard from this week?
4377,ham,"Doing nothing, then u not having dinner w us?"
791,ham,All e best 4 ur driving tmr :-)
1150,ham,(That said can you text him one more time?)
1073,ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
1993,ham,Eh den sat u book e kb liao huh...
4651,ham,Where r e meeting tmr?
1034,ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
5104,ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"""
1674,ham,Nah dub but je still buff
1954,ham,Good night. Am going to sleep.
5523,ham,Going to join tomorrow.
853,ham,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\"""""
5093,ham,Gokila is talking with you aha:)
3105,ham,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
739,ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
1854,ham,They did't play one day last year know even though they have very good team.. Like india.
3711,ham,Wat u doing there?
576,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
413,ham,Bring home some Wendy =D
124,ham,ÌÏ predict wat time Ì_'ll finish buying?
3229,ham,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?"
4124,ham,May b approve panalam...but it should have more posts..
4937,ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
5447,ham,So that takes away some money worries
2847,ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
1774,ham,"Its ok chikku, and its my 1 of favourite song..:-)"
5539,ham,Just sleeping..and surfing
3639,ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
2827,ham,Wife.how she knew the time of murder exactly
4802,ham,How do you plan to manage that
890,ham,Why do you ask princess?
4846,ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
1127,ham,"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay"
4368,ham,Anytime lor...
4715,ham,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
3324,ham,Nope... Juz off from work...
3307,ham,But i'm surprised she still can guess right lor...
179,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
866,ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
3683,ham,Dad says hurry the hell up
4780,ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
4917,ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
2227,ham,Oh k.k..where did you take test?
153,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
724,ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
5407,ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ì_ leaving earlier or wat mah cos mayb Ì_ haf to walk v far...
3085,ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
2768,ham,I am on the way to ur home
4141,ham,Infact happy new year. How are you where are you when are we seeing
425,ham,Ok. She'll be ok. I guess
2979,ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
887,ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
1985,ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
2071,ham,Good night my dear.. Sleepwell&amp;Take care
932,ham,So do you have samus shoulders yet
5352,ham,Good morning princess! Have a great day!
4786,ham,ÌÏ thk of wat to eat tonight.
2040,ham,You always make things bigger than they are
1200,ham,Otherwise had part time job na-tuition..
5176,ham,Company is very good.environment is terrific and food is really nice:)
4610,ham,Wat time Ì_ finish?
2755,ham,We r outside already.
3216,ham,Come to mahal bus stop.. &lt;DECIMAL&gt;
2907,ham,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
2075,ham,Must come later.. I normally bathe him in da afternoon mah..
4588,ham,Have you not finished work yet or something?
3848,ham,U in town alone?
455,ham,Si si. I think ill go make those oreo truffles.
4210,ham,Oi when you gonna ring
3402,ham,Good night my dear.. Sleepwell&amp;Take care
375,ham,Can you say what happen
330,ham,K.k:)apo k.good movie.
3413,ham,No pic. Please re-send.
1857,ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
5001,ham,You still around? Looking to pick up later
3582,ham,I sent your maga that money yesterday oh.
4761,ham,Me too! Have a lovely night xxx
3973,ham,Roger that. WeÛ÷re probably going to rem in about 20
2771,ham,Then ur sis how?
5325,ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
1366,ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
150,ham,The wine is flowing and i'm i have nevering..
2885,ham,No probs hon! How u doinat the mo?
4732,ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
3477,ham,I can ask around but there's not a lot in terms of mids up here
4305,ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
2004,ham,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min."
973,ham,what is your account number?
386,ham,Customer place i will call you.
3120,ham,Small problem in auction:)punj now asking tiwary
232,ham,"Sorry battery died, yeah I'm here"
1102,ham,Black shirt n blue jeans... I thk i c Ì_...
5099,ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
4365,ham,Mm yes dear look how i am hugging you both. :-P
5382,ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad"
2383,ham,Your pussy is perfect!
5139,ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
2924,ham,Are you coming to day for class.
2455,ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?"
3953,ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
3019,ham,I thank you so much for all you do with selflessness. I love you plenty.
110,ham,What is the plural of the noun research?
