,0
0,claim
1,prize
2,Cs
3,URGENT
4,å£1000
5,awarded
6,Claim
7,150ppm
8,150p
9,guaranteed
10,>
11,tone
12,PO
13,entry
14,collection
15,16+
16,18
17,GUARANTEED
18,weekly
19,4*
20,8007
21,å£2000
22,WON
23,500
24,WIN
25,å£100
26,UK
27,Holiday
28,18+
29,å£1.50
30,å£5000
31,SAE
32,Box
33,ringtone
34,mob
35,http
36,land
37,Valid
38,tones
39,Todays
40,Prize
41,å£500
42,12hrs
43,100
44,Urgent
45,Expires
46,unsubscribe
47,Cost
48,vouchers
49,750
50,08000930705
51,å£250
52,dating
53,operator
54,Identifier
55,Code
56,NOKIA
57,YES
58,86688
59,å£350
60,Bonus
61,TONE
62,Offer
63,MobileUpd8
64,08000839402
65,PRIVATE
66,Account
67,Statement
68,10p
69,winner
70,Ltd
71,0800
72,charged
73,87066
74,complimentary
75,CASH
76,800
77,FreeMsg
78,games
79,Chat
80,Win
81,phones
82,Motorola
83,representative
84,2003
85,un-redeemed
86,TXT
87,opt
88,wkly
89,POBox
90,Club
91,10p/min
92,LIVE
93,NTT
94,specially
95,rental
96,txts
97,Ts
98,std
99,mobiles
100,credits
101,eg
102,www.getzed.co.uk
103,å£200
104,MUSIC
105,Dogging
106,Tone
107,iPod
108,matches
109,150
110,"å£2,000"
111,Caller
112,valued
113,3030
114,custcare
115,Latest
116,Bluetooth
117,Mins
118,rates
119,entitled
120,admirer
121,Quiz
122,SavaMob
123,S.
124,I.
125,M.
126,FREEPHONE
127,Video
128,No1
129,25p
130,reward
131,inc
132,poly
133,camcorder
134,national
135,Welcome
136,å£800
137,Half
138,Tones
139,U-find
140,R*reveal
141,special-call
142,2004
143,150p/msg
144,å£150
145,bid
146,BT-national-rate
147,Ringtone
148,Join
149,BOX
150,CD
151,Del
152,spree
153,AGE
154,SP
155,36504
156,HMV
157,Landline
158,horny
159,08712460324
160,20p
161,1327
162,Croydon
163,CR9
164,5WB
165,0870
166,Choose
167,<
168,40GB
169,DVD
170,vary
171,Camcorder
172,Sunshine
173,rcvd
174,flights
175,85023
176,å£3.00
177,Voucher
178,86021
179,HG/Suite342/2Lands
180,150pm
181,08712300220
182,standard
183,Costa
184,Sol
185,HL
186,W45WQ
187,norm150p/tone
188,Arcade
189,SiPix
190,Digital
191,Delivery
192,3G
193,Videophones
194,videochat
195,java
196,Dload
197,noline
198,rentl
199,Cash
200,LDN
201,polys
202,Tenerife
203,Luv
204,ENGLAND
205,logo
206,zed
207,onto
208,//www.urawinner.com
209,08707509020
210,O2
211,TC
212,1000
213,Saturday
214,December
215,11mths+
216,Co
217,Calls
218,revealed
219,www.comuk.net
220,partner
221,XMAS
222,selection
223,150p/Msg
224,1x150p/wk
225,80062
226,Sub
227,POBox36504W45WQ
228,Holder
229,CDs
230,locations
231,å£900
232,awaiting
233,PC
234,Voda
235,quoting
236,09050090044
237,toClaim
238,POBox334
239,Stockport
240,SK38xh
241,Costå£1.50/pm
242,Max10mins
243,3510i
244,announcement
245,å£400
246,age16
247,MP3
248,COLLECT
249,TnCs
250,POLY
251,150p/tone
252,300
253,Games
254,87077
